VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
550, 184, -0.63946,  6.06460E-06, -0.75357, -0.64701,  6.13627E-06, -0.76248,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.48115
551, 185, -0.62798, -6.30771E-06, -0.74006,  0.64701,  6.49882E-06,  0.76249,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.48115
552, 186, -0.66374,  6.06801E-06, -0.73225, -0.6716,  6.13982E-06, -0.74092,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.48772
553, 185, -0.62798, -6.30771E-06, -0.74006,  0.64701,  6.49882E-06,  0.76249,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.48115
554, 184, -0.63946,  6.06460E-06, -0.75357, -0.64701,  6.13627E-06, -0.76248,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.48115
555, 185, -0.62798, -6.30771E-06, -0.74006,  0.64701,  6.49882E-06,  0.76249,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.48115
556, 186, -0.66374,  6.06801E-06, -0.73225, -0.6716,  6.13982E-06, -0.74092,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.48772
557, 187, -0.65183, -6.30430E-06, -0.71912,  0.67159,  6.49541E-06,  0.74092,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.48772
558, 188, -0.68732,  6.07190E-06, -0.71016, -0.69546,  6.14382E-06, -0.71857,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.49429
559, 187, -0.65183, -6.30430E-06, -0.71912,  0.67159,  6.49541E-06,  0.74092,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.48772
